Photographer Name,Photographer Location,Price
Dey's Photography,"Howrah, Kolkata","36,000"
Memories Creators,"Howrah, Kolkata","30,000"
Himadri Manna Photography,"Howrah, Kolkata","50,000"
Bandhan Photography,"Howrah, Kolkata","35,000"
Creative Filament Snap Shooterz,"Howrah, Kolkata","45,000"
Illusion Artwork Photography,"Howrah, Kolkata","45,000"
Imaginary Photography,"Howrah, Kolkata","8,000"
Magic Candide,"Howrah, Kolkata","13,000"
Loknath Dreams Photography,"Howrah, Kolkata","20,000"
Uma Studios,"Howrah, Kolkata","35,000"
Subhas Jana Photography,"Howrah, Kolkata","20,000"
Koushik Photography,"Howrah, Kolkata","50,000"
Duttas Photography,"Howrah, Kolkata","20,000"
Bioscope Photography,"Howrah, Kolkata","11,000"
Flash & Fusion Studios,"Howrah, Kolkata","15,000"
PicPocket Photography,"Howrah, Kolkata","55,000"
