Photographer Name,Photographer Location,Price
The Triangle Services,"Nungambakkam, Chennai","55,000"
WeddingStori,"Nungambakkam, Chennai","70,000"
SA Photography,"Nungambakkam, Chennai","8,000"
Aditya photographs,"Nungambakkam, Chennai","18,000"
Fotoclickers Private Limited,"Nungambakkam, Chennai","56,000"
