Photographer Name,Photographer Location,Price
Pik-a-Shoot,"Wagholi, Pune","65,000"
Crazy Clicks Bts,"Wagholi, Pune","50,000"
Pravin Dhawale Photography,"Wagholi, Pune","25,000"
