Photographer Name,Photographer Location,Price
Dream Wedding Films,"Patel Nagar, Delhi Ncr","22,000"
Sahil Nagia Photography,"Patel Nagar, Delhi Ncr","6,000"
Amit Video Vision,"Patel Nagar, Delhi Ncr","35,000"
Lalit Photography,"Patel Nagar, Delhi Ncr","1,75,000"
SD Photographer,"Patel Nagar, Delhi Ncr","28,000"
Rajat Photography,"Patel Nagar, Delhi Ncr","27,000"
