Photographer Name,Photographer Location,Price
C3 Photography,"Bengaluru, Bangalore","40,000"
Studio100pixel,"Bengaluru, Bangalore","50,000"
vinish varghese photography,"Bengaluru, Bangalore","40,000"
Yarapics,"Bengaluru, Bangalore","28,000"
Eye 4 Events,"Bengaluru, Bangalore","20,000"
JP Studio,"Bengaluru, Bangalore","15,000"
Blank slate,"Bengaluru, Bangalore","40,000"
Zeroframe photography,"Bengaluru, Bangalore","28,000"
,"Bengaluru, Bangalore","40,000"
