Photographer Name,Photographer Location,Price
Indelible Clicks,"Magadi Road, Bangalore","40,000"
DPK Photography,"Magadi Road, Bangalore","35,000"
Aashish Agarwal,"Magadi Road, Bangalore","40,000"
AR Events,"Magadi Road, Bangalore","16,000"
Uday Acharya Studio,"Magadi Road, Bangalore","39,000"
Shaswath Digital Studio,"Magadi Road, Bangalore","23,000"
Vb Photos,"Magadi Road, Bangalore","65,000"
Add In Photography,"Magadi Road, Bangalore","45,000"
Cloudswedding,"Magadi Road, Bangalore","60,000"
,"Magadi Road, Bangalore","75,000"
