Photographer Name,Photographer Location,Price
Zeus Photography,"Beleghata, Kolkata","13,000"
AK Creation Photography,"Beleghata, Kolkata","4,500"
TR Photography Sidhi,"Beleghata, Kolkata","30,000"
Vinay Villan,"Beleghata, Kolkata","28,000"
Memories Photography,"Beleghata, Kolkata","18,000"
Spotlight Production,"Beleghata, Kolkata","40,000"
CN Flims Media House,"Beleghata, Kolkata","20,000"
Momentography Creation,"Beleghata, Kolkata","82,000"
Rainbow the Creative Studio,"Beleghata, Kolkata",On Request
Memories Forever Studios and Production,"Beleghata, Kolkata",On Request
The Movie Creation,"Beleghata, Kolkata",On Request
Mukharjee Candid Shots,"Beleghata, Kolkata","27,000"
