Photographer Name,Photographer Location,Price
Stories by Anandu Das,"Triplicane, Chennai","1,75,000"
Bokeh Photography,"Triplicane, Chennai","60,000"
Saraswati Colour Photo,"Triplicane, Chennai","37,000"
Sugan Photography,"Triplicane, Chennai","1,00,000"
