Photographer Name,Photographer Location,Price
Klik Fotos,"Thuraiyur, Tiruchirappalli","55,000"
Ras Photography,"Thuraiyur, Tiruchirappalli","25,000"
Ramesh Photo Studio,"Thuraiyur, Tiruchirappalli","30,000"
Shankar Studioz,"Thuraiyur, Tiruchirappalli","24,000"
