Photographer Name,Photographer Location,Price
Kuppi Paparazzo,"T Nagar, Chennai","25,000"
Slow Motion Photography,"T Nagar, Chennai","30,000"
Bsage Photography,"T Nagar, Chennai","35,000"
YD Studio,"T Nagar, Chennai","50,000"
Xposure Triangle Photography,"T Nagar, Chennai","6,500"
Fifth Angle Studios,"T Nagar, Chennai","25,000"
NarayananBalu Photography,"T Nagar, Chennai","30,000"
Aura Photography,"T Nagar, Chennai","45,000"
Let's Roll Entertainment,"T Nagar, Chennai","32,000"
Studio Six Degree,"T Nagar, Chennai","15,000"
