Photographer Name,Photographer Location,Price
Pixel Diaries,"Ghatkopar, Mumbai","70,000"
Glowwed Films,"Ghatkopar, Mumbai","80,000"
Naina Digital Photography,"Ghatkopar, Mumbai","40,000"
Peace Films,"Ghatkopar, Mumbai","45,000"
J Anchan Photography,"Ghatkopar, Mumbai","1,05,000"
G Wedding Factory,"Ghatkopar, Mumbai","50,000"
Castle of dreams,"Ghatkopar, Mumbai","35,000"
Still 'n' Motion Studios,"Ghatkopar, Mumbai","50,000"
AK Official Photography,"Ghatkopar, Mumbai","30,000"
Totally Limitless Clicks,"Ghatkopar, Mumbai","1,500"
Nehz Studio,"Ghatkopar, Mumbai","18,000"
Harsh Photographers,"Ghatkopar, Mumbai","27,000"
Kaustubh Photography,"Ghatkopar, Mumbai","22,000"
Talking Frames,"Ghatkopar, Mumbai","36,000"
