Photographer Name,Photographer Location,Price
Studio A7,"Velachery, Chennai","1,40,000"
Go Candid Studios,"Velachery, Chennai","55,000"
Foto Soul Photography,"Velachery, Chennai","25,000"
justaposephotos,"Velachery, Chennai","70,000"
Happy Clicks Studio,"Velachery, Chennai","40,000"
Dreamz Image Photography,"Velachery, Chennai","23,500"
O M I Photogrpahy,"Velachery, Chennai","18,000"
Pixelcubephotography,"Velachery, Chennai","22,500"
Prince Kennedy Photography,"Velachery, Chennai","50,000"
DR Studios,"Velachery, Chennai","30,000"
Emerentia Photography,"Velachery, Chennai","32,000"
StudioPro,"Velachery, Chennai","25,000"
