Photographer Name,Photographer Location,Price
NR Photography,"Chrompet, Chennai","10,000"
404 Pictures,"Chrompet, Chennai","16,000"
Tamil Wedz,"Chrompet, Chennai","50,000"
Studio 8Frames,"Chrompet, Chennai","80,000"
D11 Studios,"Chrompet, Chennai","18,500"
