Planner Name,Planner Location,Price
Kuruganti Event Managers,"Lb Nagar, Hyderabad","50,000"
Bharath Flower Decoration and Events,"Lb Nagar, Hyderabad","1,00,000"
Sai Live Events,"Lb Nagar, Hyderabad","30,000"
V Plan Events,"Lb Nagar, Hyderabad","1,50,000"
Sri Gayathri Events,"Lb Nagar, Hyderabad","6,00,000"
Gk Events,"Lb Nagar, Hyderabad","7,00,000"
