Planner Name,Planner Location,Price
Weddings by Mohit Girdhar,"Subhash Nagar, Delhi","2,50,000"
The Wedding Currator,"Subhash Nagar, Delhi","3,00,000"
The Riwaaz Events,"Subhash Nagar, Delhi","1,00,000"
