Planner Name,Planner Location,Price
Namma Madve Wedding Planner,"Bengaluru, Bangalore","3,20,000"
VPM Enterprises,"Bengaluru, Bangalore","1,00,000"
Harry's Events,"Bengaluru, Bangalore","7,00,000"
Advika wedding planners,"Bengaluru, Bangalore","3,00,000"
