Planner Name,Planner Location,Price
The Velvet Carpet,"Ballygunge, Kolkata",450
The Phoenix Yours Dream Organizer,"Ballygunge, Kolkata","1,25,000"
Embrace Events,"Ballygunge, Kolkata","50,000"
