Planner Name,Planner Location,Price
Onset Designs,"Malviya Nagar, Delhi Ncr","2,00,000"
TNE Destination Weddings,"Malviya Nagar, Delhi Ncr","2,50,000"
Viral My Shaadi,"Malviya Nagar, Delhi Ncr","3,00,000"
