Planner Name,Planner Location,Price
Yashodaa Entertainment,"Somajiguda, Hyderabad","5,00,000"
Vintage Events,"Somajiguda, Hyderabad","1,00,000"
Em-cee Events,"Somajiguda, Hyderabad","5,00,000"
