Planner Name,Planner Location,Price
Event Ustaad,"Andheri East, Mumbai","1,50,000"
Plan Itt,"Andheri East, Mumbai","2,00,000"
Naara Weddings,"Andheri East, Mumbai","3,50,000"
Druhi Events,"Andheri East, Mumbai","3,00,000"
Tara Event Management,"Andheri East, Mumbai","2,50,000"
